case_number,class,class_idx,seed,prompt
1826,793,786,1752086420,apple and banana morphed 
1827,1597,1583,3989428252,artwork by peter mohrbacher 
1828,1196,1186,1840832187,"fridays amirite because we work in a scifi office on the moon or whatever, by cameron gray, wlop, stanley kubrick, masamune, unique perspective, epic, trending on artstation, photorealistic, 3 d render, vivid "
1829,990,981,3004096767,"Dr. Evil, by Dave Gibbons"
1830,523,519,4063904047,"photo of mildly glowing giant ygrdasil tree on a foggy grass field with hills and giant gates in the backgrkund. very detailed, 8k, fantasy cyberpunk horror "
1831,714,707,3872310527,"A digital matte intricate illustration concept art of young Danny phantom with glowing green eyes and sharp teeth fangs alt art fashion inspired art by Charlie Bowater and WLOP and Mark Arian and Ross Tran + neon colors, symmetry , intricate complexity, epic composition, magical atmosphere, highly detailed, cinematic lighting + masterpiece, trending on artstation + 8k"
1832,485,481,166636556,building made of gold and glass  by  zaha hadid
1833,1072,1063,3199089407,"Tarzan\'s lost temple, cinematic lighting, wide angle landscape photography, hyperrealistic, 8k"
1834,1296,1286,1648825707,"a bright fantasy city built within a vast cave, sleek glass buildings, elegant bridges between stalactites, illustration, raining, dark and moody lighting, at night, digital art, oil painting, cold blue tones, fantasy, 8 k, trending on artstation, detailed "
1835,54,53,3378783691,"a very close - up lemon, in concept art of main menu loading screen background. for russian mmorpg king's bounty by katauri, tencent netease, artstation, behance, style of hearthstone "
1836,1439,1427,446226460,"portrait of a rococo metallic skull of an android, robot steampunk, horizon zero dawn machine, intricate, elegant, highly detailed, magic, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k "
1837,666,659,1446862098,"an anime grandpa on an adventure the otherworldly glowing ethereal dreamscape by kazo oga the anime film by studio ghibli, armor, screenshot from the film by makoto shinkai, concept art by senior environment artist, anime aesthetic"
1838,1456,1444,127044890,"mario kart, art by bruce pennington, trending on artstation, bioluminescence closeup view illustrator, american romanticism, very very elegant, 4 k hd, bauhaus "
1839,574,570,1101412630,"detailed veduta of a camp in a magical forest with tall trees and statues of ancient goddesses, heroes of might and magic 3, whimsical, fairy tale, hyper realistic, volumetric lighting, sunshafts, dan mumford, thomas kinkade, realistic, a beautiful epic stunning amazing and insanely detailed veduta of fantasy dream worlds with surreal architecture designed by Heironymous Bosch, mega structures inspired by Heironymous Bosch's Garden of Earthly Delights, vast surreal landscape and horizon by Cyril Rolando and Andrew Ferez, rich pastel color palette, masterpiece!, grand!, imaginative!!, whimsical, epic scale, intricate details, sense of awe, elite, fantasy realism, complex composition, 4k, 8k, HD, wallpaper, octane render, artstation, fractals"
1840,1183,1173,1199157699,"cg concept art ， kai'sa in lol of riot games, prepare for battle, highly detailed, digital painting, artstation,, sharp focus, golden ratio, smooth, octane render, sharp focus, artstation,, by panda, alex flores ， jason chan, beeple "
1841,1786,1769,3174119213,top golf 
1842,68,67,2200400438,"a very beautiful eco - friendly environmental future!!! city cityscape, ( flying cars ) and elevated!! trains and solar power, lots of desert plants and flowers, sunrise, style of olidon redon "
1843,202,201,3394047505,"side portrait, beautiful female android!, intricate detailed environment, photorealistic!, octane render, mechanical, concept art, cinematic lighting, interstellar, hyper realism, sharp, cyberpunk, bladerunner, 8 k, el dia los muertos. by angus mckie, moebius, maciej kuciara, stanley lau, artgerm, greg rutkowski "
1844,1713,1696,42537237,a hyper - detailed kodachrome photo of an open casket floating in space painted by wayne d barlowe 
1845,1865,1848,1866781065,satellite photo of the united kingdom fully covered in dry desert brown sand 
1846,1571,1558,462640766,painting of a nymph holding the planet earth 
1847,1697,1680,2782812927,street in new york
1848,441,438,2099168346,"etablishing wide view shot of stunning colorful intriguing cute * poetic * living sculpture of a mythic animal living form by * beth cavener * in empty white space exposition. elegant animal living form. with collaboration of ellen jewett, ghibli, beth cavener, sayaka ganz, edouard martinet, john o'reilly and judith klausner. joyfull "
1849,1042,1033,2012747581,"portrait of a beautiful goth vampire in corset, art by ilya kuvshinov and lois van baarle and sam yang and ross tran and wlop and artgerm, digital art, highly detailed, intricate, sharp focus, trending on artstation hq, deviantart, pinterest, unreal engine 5, 4 k uhd image "
1850,1435,1423,3902734467,"Lisbon, oil on canvas by The last day on earth, intricate, portrait, 8k highly professionally detailed, HDR, CGsociety, "
1851,450,447,3696938748,"art nouveau cresting oil slick waves, ammonite, hyperdetailed bubbles in a shiny iridescent oil slick wave, black opals, ornate copper patina spiral ornament, rococo, organic rippling spirals, hyperdetailed photorealistic ultrasharp octane render "
1852,1444,1432,1259469404,"photo environement post futurist underground : 4, 4 k rtx hdr volume light concept studio matte painting environement digital illustration style art that looks like it is from borderlands and by feng zhu and loish and laurie greasley, victo ngai, andreas rocha, john harris by jesper ejsing, by rhads, makoto shinkai and lois van baarle"
1853,1758,1741,3572883880,"stylish caricature art of robots in a bustling neon lit wet ajegunle slum in nigeria, photographed by vivian maier, unreal engine 3 d vfx render, digital illustration by mike winkelmann, intricate detail, sharp, volumetric light, ray tracing, soft light, colourful, claymation, wide angle lens, acrylic on canvas, cinestill 8 0 0 t, "
1854,1197,1187,3604900250,"darth vader lying on the floor, beautiful landscape, dramatic lighting, cinematic, establishing shot, night time, heavy rain, extremly high detail, photorealistic, cinematic lighting, epic fight scene, post processed, concept art, artstation, matte painting, style by greg rutkowsky "
1855,1924,1906,3190751838,"soldier armor by mike jensen, 3 d render "
1856,1229,1219,2593111727,"weird mystical fish by shaun tan, side view, style of edward hopper studio muti ghibli junji ito yoshitaka amano "
1857,1123,1114,2874322943,"portrait of lady gaga as the joaquin phoenix joker. intricate abstract. intricate artwork. by tooth wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8 k, iridescent accents "
1858,1396,1385,3629519347,"ghost like meme that make, ultra realistic, concept art, intricate details, highly detailed, photorealistic, octane render, 8 k "
1859,758,751,1891569863,"a portrait of captain kirk as sigmund freud, intricate, highly detailed, matte painting, digital painting, by joesph ducreux "
1860,1472,1460,914930098,"portrait of the long path to heaven, wide shot, sharp focus "
1861,1149,1140,358692609,"a beautifully high detail, intricate, clear detailed portrait of a potrait of beautiful handsome man with an construction hat golden at beautiful sunset daytime nature sunlit nebula background painting by frederic leighton and rosetti, 8 k "
1862,1044,1035,279044304,"digital character concept art by artgerm and greg rutkowski and alphonse mucha. portrait of batman holding avocado toast, beautiful, holding a stuff, detailed, poster art, light effect, glowing, hyper detail, intricate, elegant, digital painting, artstation, smooth, sharp focus "
1863,1494,1482,779903423,"orderly stack of colorful pieces of plexiglass, studio lighting, product photography"
1864,1003,994,4123846847,dinosaur anatomy infographic
1865,1176,1167,2629313382,a promotional screenshot of petra in the video game uncharted 3. desert. volumetric lighting. 3 d render. unreal engine 
1866,380,377,511030217,"a window full of tropical flowers, inside the window you can see the galaxy, fantasy art, trend in artstation "
1867,1569,1556,2466193373,"gambit, concept art, detailed face, fantasy, highly detailed, cinematic lighting, digital art painting by greg rutkowski "
1868,763,756,1849563064,"Antonio Banderas as Charlie Chaplin in 'My Chap Chaplin' (1968), movie still frame, promotional image, imax 70 mm footage, oscar nominated cinematography, volumetric lighting, 8k resolution"
1869,883,875,1735900701,"epic professional digital art of angels and demons, horrific yet beautiful vibe, evocative, atmospheric lighting, painted, intricate, highly detailed, by leesha hannigan, wayne haag, reyna rochin, ignacio fernandez rios, mark ryden, iris van herpen, artstation, cgsociety, stunning, gorgeous, sharp focus, cinematic, masterpiece "
1870,409,406,1572002828,a sofa and a table and a TV on the moon in cartoon style
1871,662,655,1866677945,"Map of a psychedelic realm in the style of the voynich manuscript highly detailed, full color, as painted by lisa frank and bob ross"
1872,988,979,2734958591,"portrait of don draper as a skull. intricate abstract. intricate artwork. smooth. by Tooth Wu, wlop, beeple, dan mumford. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k, iridescent accents"
1873,1766,1749,4008149949,"stylish colourful caricature - 3 d vfx art - of an animal, art style by zdzisaw beksinski & hsiao - ron cheng, character concept art, unreal engine render, digital illustration, sharp, intricate detail, volumetric light, ray tracing, soft light, claymation style, symmetric, acrylic on canvas, pinterest, artstation, behance, "
1874,927,918,3029444890,"an eerie cave, containing a hidden portal, to another galaxy, trending on art station, "
1875,880,872,352370918,"a boston terrier chasing bubbles. clean elegant painting, beautiful details, lots of bubbles. by artgerm and greg rutkowski "
1876,1747,1730,609467418,"sri lankan landscape, coconut trees, tyrannosaurus rex roaming in the forest, volumetric lighting, volumetric shadows, nature photography, realistic oil painting by tomas sanchez "
1877,1348,1337,4034259772,"subsurface scattering, white, crab goddess, vibrant colors, ( ( ( koi colors ) ) ), octane render, jesper ejsing, james jean, justin gerard, tomasz alen kopera, cgsociety, fenghua zhong, makoto shinkai, highly detailed, rim light, art, cinematic lighting, very coherent, hyper realism, 8 k "
1878,1100,1091,1133943983,"Vladimir Mayakovsky rides an electric scooter , dramatic lighting, CGsociety, hypermaximalist, golden ratio, environmental key art, octane render, weta digital, micro details, 3d sculpture, structure, ray trace 8k"
1879,1759,1742,291795793,"a beautiful girl in intricate detailed color oilpaint, 3 d render, hyper realistic detailed portrait, flocking color leaves, ornate leaves headpiece, elegant, intense colors, ruan jia, wlop. scifi, fantasy, hyper detailed, octane render, concept art, by peter mohrbacher, by alphonse mucha, by wlop, by ruan jia "
1880,1545,1533,414241823,concept art
1881,334,332,3668267775,"densely populated megapolis city, highly detailed, science fiction, Edward Hopper and James Gilleard, Zdzislaw Beksinski highly detailed"
1882,712,705,3928219903,Valentina by Guido Crepax. Nikon sigma 1/6
1883,1512,1500,2,"portrait of wonderful princess of emerald with fair skin, glowing, ornate and intricate, jaw dropping, dynamic lighting, intricate and detailed, 4 k octane render "
1884,772,765,4045385727,"Emma Watson as the girl with the pearl earring, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, ArtStation, art by artgerm and greg rutkowski and alphonse mucha and J. C. Leyendecker and Edmund Blair Leighton and Katsuhiro Otomo and Geof Darrow and Phil hale and Ashley wood and Ilya repin and Charlie Bowater"
1885,755,748,335316762,"''dragon breathing fire, rule of thirds, fantasy, mountain landscape, d & d, digital painting, artstation, deviantart, concept art, illustration, art by dragolisco and anne stokes and nico niemi'' "
1886,732,725,2293122344,"detailed anime illustration of a beautiful hawaii landscape, ocean lagoon, breathtaking clouds by makoto shinkai, thomas kinkade and james gilleard, deviantart, cgsociety, 8 k vertical wallpaper "
1887,1701,1684,591652928,"portrait of a ancient dragon with a human face. concept art, extremely high details, octane render, artstation contest winner, digital art by slawomir maniak, greg broadmore, chris rahn. masterpiece "
1888,23,22,906785344,"a fantasy style portrait painting a character if drax the destroyer ( arthur douglas ) and thanos had a son, purple skin, powerful chin, drax the destroyer style traits, painting, unreal 5, daz., rpg, portrait, extremely detailed, artgerm greg rutkowski _ greg "
1889,747,740,2586953790,"a mountain so high that the top cant be seen, digital art, trending on artstation "
1890,173,172,1534536608,"poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak of Tilda Swinton as the log lady, from scene from Twin Peaks, clean"
1891,219,218,1934247039,"tuscany hills during sunset, oil painting in style of van gogh"
1892,164,163,2243765410,"tetsuo over neo - tokyo, silhouetted by a red sun | anime, realistic shaded perfect face, fine details. realistic shaded lighting poster by katsuhiro otomo, akira, artgerm, jeremy lipkin and michael garmash and rob rey "
1893,755,748,457111129,big budget action movie about a scientist who takes a science lab hostage 
1894,1693,1676,4285216511,"”a diesel punk city vista, Twilight, city lights, reflections, glares, perspective sky, HD, 8k, in the style of Katsuhiro Otomo, Ian mcque”"
1895,916,907,1515679999,"six feet tall mech fighting in an urban environment, gaudi, by gaston bussiere, by ismail inceoglu, octane render, by weta digital, cinematic lighting, bump mapped, lumen reflections, action scene screenshot, epic scale "
1896,220,219,445872799,Jumping into a pool POV. High resolution. Highly detailed. Art station. 8k
1897,1983,1965,417303273,Glowing Sigil of a Multiverse of Infinite Earths. Circular. Cosmic. Planets. DC Comics. Multiversity. The Multiverse. Planetary. Behance. Polished. Shiny. Reflective.
1898,1549,1537,3022637475,stealth military tactical goggles headgear helmet mercenary combat armor special tactical elite future nano final render trending on artstation digital painting highly detailed concept art final 4 k 8 k hd shading sharp intricate 
1899,579,575,1053899904,"portrait of Jane Jetson, expressive pose, highly detailed, digital painting, smooth, sharp focus, by Jean Auguste Dominique Ingres"
1900,34,33,1194942734,stunning awe inspiring Mr. Rogers as The Joker 8k hdr Batman movie still amazing lighting
1901,1968,1950,760529057,"egyptian detailed portrait of the mona lisa by rudolf ernst and john frederick lewis and jean - leon gerome and rudolf weisse and david roberts and charles theodore frere and alfred dehodencq, orientalism "
1902,790,783,1019807242,"subsurface scattering, white, embyro of a god, vibrant colors, ( ( ( koi colors ) ) ), octane render, jesper ejsing, james jean, justin gerard, tomasz alen kopera, cgsociety, fenghua zhong, makoto shinkai, highly detailed, rim light, art, cinematic lighting, very coherent, hyper realism, 8 k "
1903,1731,1714,306165480,"a cargo ship that has an algae vertical farm built on it, futuristic, ultra-realistic, Unreal Engine"
1904,406,403,4044221951,"an industrial design render of an advanced robotic biomorph armadillo behind a snail, industrial, biomimetic, bionic, steampunk, 3D octane render, 8K, artstation"
1905,138,137,887907537,"detailed realistic beautiful gundam face portrait by jean delville, gustave dore, iris van herpen and marco mazzoni, art forms of nature by ernst haeckel, art nouveau, symbolist, visionary, gothic, neo - gothic, pre - raphaelite, fractal lace, intricate alien botanicals, ai biodiversity, surreality, hyperdetailed ultrasharp octane render "
1906,57,56,765217954,"vfx film, destiny 2, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic, atmospheric "
1907,190,189,781518825,"screaming dynamism of celestial being detailed and highly reliefed analogue mixed media collage with canvas texture in style of contemporary art, punk art, photorealistic, expressionism, minimalism. masterpiece, perfect composition, photorealistic beautiful face, spectacular quality, intricate details, shattered glass textures "
1908,1718,1701,1316820232,test test 
1909,461,458,3995267410,"beautiful daenerys targaryen ( khaleesi ) portrait, art deco, fantasy, intricate art deco dragon designs, elegant, highly detailed fractals, sharp focus, game of thrones art by artgerm and beeple and greg rutkowski and wlop "
1910,1220,1210,3942611353,"carbon goddess, art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration "
1911,1937,1919,196501867,"visual novel character poses from the waist up, digital art, anime style, lighting "
1912,1144,1135,3639945335,"highly detailed realistic architecture 3 d render of a futurisctic stele made from silver bars standing in a city park, archdaily, made in unreal engine 4 octane render "
1913,1882,1865,2039987648,template of the front of a hearthstone cyberpunk card. open as a psd file in photoshop. space for text and statistics. made by fantasy flight games. uncropped 
1914,1818,1801,2734935796,"The boy who lost his heart to the moon, avatar the last airbender, digital art, 8k trending on cgsociety artstation, award winning."
1915,887,879,3359807543,"magic cat, dynamic lighting, photorealistic fantasy concept art, trending on art station, stunning visuals, terrifying, creative, cinematic "
1916,671,664,2350336672,1950s painting of a charming handsome man wearing vintage glasses and suit by Gil Elvgren
1917,1442,1430,2968094762,"digital illustration of a bipedal cat standing on a cliff watching the sea, very detailed, 4 k, 8 k, sharp focus, surrealism, art deco, vibrant color scheme, cinematic, cgsociety, trending on artstation, deviantart, by beeple "
1918,1190,1180,773554912,"high resolution photo of rocks, michelin star, very tasty, food photography, instagram, trending "
1919,1370,1359,1980366648,"isometric webdesign icon for paradise blossoming aquarium of eden, 3d render, by Artgerm, tooth wu, dan mumford, beeple, wlop, rossdraws, James Jean, Andrei Riabovitchev, Marc Simonetti, yoshitaka Amano, Artstation"
1920,457,454,431523399,"a realistic yet scraggly portrait sketch of the side profile of a stern and sophisticated gene ween, trending on artstation, intricate details, in the style of frank auerbach, in the style of sergio aragones, in the style of martin ansin, in the style of david aja, in the style of mattias adolfsson "
1921,1529,1517,1970242513,concept art of samus aran as link 
1922,245,244,3134199362,fantasy anime landscape of yazd in the style of makoto shinkai 
1923,962,953,936662108,"a complex magical machine of alien technology, by ben erdt, michal kalisz, huleeb, octane render, gold, brushed steel, chrome, leds, detailed, 8 k "
1924,1289,1279,2563005964,"hyperrealistic render of a busy city street at night, close up shot, art deco buildings, crowded, by hugh ferris, by john harris, classical architecture, blade runner, cyberpunk ads, cyberpunk signs, blue color scheme, fine detail, smooth, cinematic render, sharp focus, octane, 8 k resolution, cgsociety, trending on artstation "
1925,1300,1290,826478649,walking the streets of old kyoto by ruan jia 
1926,1790,1773,2360216675,"a streamline moderne painting in the style of clyde caldwell, and in the style of charlie bowater, and in the style of charles dulac. symmetry, smooth, sharp focus, semi - realism, intricate detail. "
1927,1448,1436,2183081536,"symmetry! ！! large aperture ， vanishing point, precision rendering of octane render, distant a hybrid gundam on platform prepare for battle, huge cyberpunk citysmooth,, artstation, concept art, illustration, golden ratio, ， sharp focus,, by laurie greasley ， mucha, beeple,, 8 k "
1928,1088,1079,970873104,"portrait of undertaker wwe, cloudy sky background lush landscape illustration concept art anime key visual trending pixiv fanbox by wlop and greg rutkowski and makoto shinkai and studio ghibli "
1929,1519,1507,2790720055,"illustration gta 5 artwork of holy saint kanye west, golden cross, in the style of gta 5 loading screen, by stephen bliss "
1930,1755,1738,1145906899,"game icon raccoon, ismail inceoglu "
1931,1261,1251,4065777618,"A highly detailed digital art painting of Elden ring caustic ree blighted landscape by Studio Ghibli, Makoto Shinkai, by from software, by Artgerm, by beeple, volumetric lighting, octane render, 4K resolution, trending on artstation, masterpiece, vivid colours"
1932,498,494,2457614622,"popular decorative art painting with contrasting composition, ludwig attersee, gerhard richter, millennium "
1933,1005,996,3543302851,"car truck race sci-fi wall structure on the coronation of napoleon painting and digital billboard in the middle, unreal engine 5, keyshot, octane, artstation trending, ultra high detail, ultra realistic, cinematic, 8k, 16k, in style of zaha hadid : in plastic : dark dramatic sunset lighting : tilt shift camera"
1934,814,806,334703391,"portrait art of 8k ultra realistic retro futuristic cosmonaut, galaxy reflected helmet , detailed intricate ornate armour,blade runner, cybernetic, full of colour, cinematic lighting, battered, trending on artstation, 4k, hyperrealistic, focused, extreme details,unreal engine 5, cinematic, masterpiece, art by ayami kojima, giger "
1935,424,421,3448671999,"photo of surreal medusa gorgo  in neon lighting, elegant, highly detailed, smooth, sharp focus, trippy, dmt, psychedelic, illustration, beautiful, geometric, trending on artstation, cinematic, artwork by WLOP"
1936,630,626,2080806783,Venom in the shadows by Mandy Jurgens
1937,753,746,1817717279,"spaceship, technological, intricate, beautiful, highly detailed, elegant, artstation, concept art, smooth and sharp focus, illustration, painting by ilya kuvshinov, alphonse mucha, gaston bussiere, art adams, craig mullins, j. c. leyendecker, rene maritte, tian zi, wlop, alsphonse mucha, artgerm "
1938,1918,1900,892338631,illusionary art tiger sunset psychedelic trippy gorgeous beautiful pretty girl in the sky by victo ngai hyperrealism human structure demon tense psychedelic illusionary art thibault girard 
1939,1764,1747,3003179585,"cute colourful caricature - 3 d vfx art - of an animal, art style by zdzisaw beksinski, tadanori yoko & hsiao - ron cheng, character concept art, unreal engine render, digital illustration, sharp, intricate detail, volumetric light, ray tracing, soft light, claymation style, symmetric, acrylic on canvas, pinterest, artstation,"
1940,1010,1001,727252607,"landscape, summer, morning, beautiful cloud, quiet, no people, trending on artstation, trending on deviantart, pixelart, pixelperfect, pixel art, pixel, art of angrysnail, Eastward style, Tales of the Neon Sea style"
1941,118,117,1302777128,"lea michele portrait, cyberpunk 2 0 7 7, cyberpunk judy alvarez, photorealistic, ultra detailed, neon, octane, bokeh, cinematic lighting, cyber, cyberpunk city, studio quality, feature, scars, cyberface, 8 k "
1942,1362,1351,1319280976,"surreal, faded, totally radical detailed professional, high quality airbrush art MGMT album cover of a liquid dissolving LSD DMT sonic the hedgehog on a flat purple checkerboard plane, 1990s 1992 prerendered graphics raytraced phong shaded album cover"
1943,810,802,2083272523,"Island beach cove at the center of the universe, Kauai, Sunlight Study, by Albert Bierstadt and ((((((((((Lisa Frank))))))))), Art Nouveau, 8k "
1944,785,778,658415353,"greg manchess oil matte portrait painting, town crier in a stadium, fantasy, wonderful masterpiece highly detailed, scifi, beautiful cinematic light deep focus, elegant, digital painting, smooth, sharp focus, golden ratio, dramatic illumination, ultra realistic, 4 k, art by greg rutkowski wlop rossdraws "
1945,739,732,481256825,spaceship traveling through stardust hyperspace. full color 
1946,1908,1890,456188990,"Photorealistic Portrait of Space Marine, bokeh, background darkness interior of spaceship, inspired by Ridley Scott, Warhammer, octane render, HD, volumetric lighting, mist, twilight, high details"
1947,633,629,4127136741,"concept art of a medieval town with bridges and castles next to a large river in overcast, painting by sargent and leyendecker, fantasy, rule of third, art station trending, illustration hearthstone, by greg rutkowski by greg tocchini by james gilleard "
1948,1388,1377,1006538325,"portrait of a rainbow haired girl in medieval village, detailed realistic shirt, detailed realistic face, by charlie bowater, by jeremy lipking, by makoto shinkai, photorealistic digital art, octane render, detailed village street "
1949,107,106,2453270451,"chronoforce, medium shot, fantasy painting, character portrait, concept art, global illumination, tankoban, 4 k, fantasy painting, by artgerm, rossdraws, sylvain sarrailh, very beautiful. "
1950,538,534,4166784445,"alchemy city, by beksinski, by ernst haeckel, shiny crystalline, watercolor "
1951,1191,1181,4130956089,"concept art painting of an alien world full of prehistoric alien life, detailed, cel shaded, in the style of makoto shinkai and moebius and james gurney "
1952,240,239,2214301032,"a film portrait still of kung - fu panda in the matrix, gritty cyberpunk atmosphere. realism, cinematic lighting, beautiful gothic fantasy photorealistic, 4 k. 8 mm. grainy. panavision. "
1953,891,883,2217802864,"detailed concept art pastel painting of a retro sci-fi spaceship in intricate designed detailed, digital art, octane render, 4K, dystopian, micro details,"
1954,815,807,4188800699,"A painting of a ghost, in the style of Takashi Murakami"
1955,239,238,2176123775,"small building, city, on the blue fire, science fiction, cyberpunk, night, wide angle, full of people, moon, a lot of lights, cinematic lighting, high detail, digital painting, concept art, illustration, smooth, sharp focus, trending on artstation, trending on deviantart, 4 k "
1956,832,824,792805658,"cinematic portrait of leprechaun trickster, green tailored suit and top hat with gold buckle by artgerm, cushart krenz, greg rutkowski, mucha. art nouveau. gloomhaven, glowing lucky charms, vibrant colors, sharp edges. ultra clear detailed. 8 k. elegant, intricate, octane render "
1957,1401,1390,1814746031,"game asset of city, in gouache detailed paintings, props, stylized, 2 d sprites, kitbash, arcane, overwatch, 8 k, close up "
1958,1127,1118,936807609,"a sunset behind a mountain range, vector image, 4 k "
1959,1356,1345,791906716,"lava lamp store with glowing lava lamps in the window, softly illuminating wet asphault, perspective from the street, photoreal octane render, night, detailed illustration "
1960,1680,1663,3882738388,"early versions of minimally viable holodecks as a new form of early cinema : a remix of games, films, tiktok content discovery and the let's play genre, with multiplot filmverses "
1961,1357,1346,1483351065,"control panel in a car featuring ejection seats, weapons control, and hyperdrive "
1962,298,296,1421799273,"techno artwork, by guillaume seignac "
1963,1244,1234,552818900,chrome spheres on a red cube by james mcdougal hart 
1964,190,189,3044178569,realistic interior shot from howls moving castle ( 2 0 0 4 ) of a scientist running in a woodland pyramid valley. cartoon depth of field. 
1965,365,362,2550510567,"painting of a old man riding old horse at wasted land, a storybook illustration by gediminas pranckevicius, featured on artstation, fantasy art, storybook illustration, artstation hq, atmospheric "
1966,1387,1376,2739025569,"painted portrait of veles slavic god, long gray hair, gray beard, fiery burning eyes, magical vines crown, four arms, standing in the dark forest, upper body fantasy intricate elegant extremely detailed digital painting trending artstation concept art sharp focus illustration art by alphonse mucha greg rutkowski craig mullins "
1967,1214,1204,2157935359,"a 3D render of a yellow-tented ecosystem scenery, high contrast, highly detailed, sharp focus, digital painting, 3D art, illustration, trending on artstation,"
1968,86,85,2628484419,"A lecturer moves spatial words in an office, corporate portrait, close-up, sigma 85mm, f 1/4, ultra detailed"
1969,1372,1361,1593704575,"Storybook illustration of anthropomorphic animal children playing in the park, watercolor style, Zootopia"
1970,1489,1477,2963728639,GVC design
1971,1973,1955,1380136548,"oceon in space, trending artstation "
1972,956,947,3830881295,"portrait of a russian woman wearing a traditional nineteenth century russian empire military jacket, metal shoulder pauldrons, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety "
1973,1167,1158,2257376255,"imposing symmetrical picture, one single red 1975 cadillac eldorado convertible car as a grand theft auto 5 loading screen, symmetry, front view, intricate, studio, symmetry art by anthony macbain + greg rutkowski + alphonse mucha, concept art, 4k, sharp focus"
1974,1307,1297,79360977,1950 Soviet propaganda poster of embracing capitalism
1975,622,618,1812127360,"diamonds, pearls, ice crystals, opals and other various gemstones being thrown around in the shape of a hawk by hydraulic pressure, museum sculpture, 4k, high quality photograph, award-winning"
1976,1051,1042,882995054,"promotional image of kate upton in a movie directed by chirstopher nolan, maid costume, movie still frame, promotional image, imax 7 0 mm footage "
1977,1707,1690,3140009004,"sound visualized in the dust kicked up violently, ios 3 d hologram in vr : 7 0 mm photograph of transparent cnidarian mesoglea, forming interactive dials of a milky ui ux interface modular synth designed by jony ive, pouring bright liquid from every hole, chiaroscuro golden hour cinematic lighting, 8 k still "
1978,1732,1715,2195011229,"Clothed,worksafe.CGSociety,by WLOP,ilya kuvshinov,krenz cushart,Greg Rutkowski,trending on artstation.Zbrush sculpt,Octane render,Maya,Houdini,VFX.Close-up cartoonish young cute Pakistani Iranian Paletinian Japanese Vietnamese AV idol actress girl face,expressing joy,silky hair,deep eyes.Watercolor painting.Cinematic atmosphere,sharp focus,volumetric lighting."
1979,374,371,2549841209,"axel from kingdom hearts playing five nights at freddies, hd, intricate, 8 k, digital art, gameplay "
1980,1056,1047,2518709502,"an astronaut surfing the Webb telescope in space with view of Celestial Cloudscape in the Orion Nebula, octane render"
1981,1055,1046,1861668264,RoG-G4
1982,1465,1453,788490681,"exquisite imaginative 1 9 8 0 s sci fi movie, little robotic blue truck in a construction site with other robotic construction vechicles, movie art, by lucusfilm, weta studio, moebius, james jean, frank frazetta, 8 k, denoised, sharp, crisp, high quality, cinematic "
1983,932,923,461732851,zx spectrum loading screen graphics for game exolon. low res pixel art screenshot 1 5 colors attribute clashing 
1984,1333,1322,1524929872,"night market, stylized, video game assets, sharp, exquisite details, intricate, elegant, exterior, architecture, in watercolor gouache detailed paintings, raytracing, arcane, insanely detail, artstation, 8 k, futuristic, big medium small, simon stalenhag, octane render, cinematic, screenshot, james gurney, ruan jia, comic style "
1985,713,706,3189286399,"cozy interior of a futuristic tavern with holographic displays on the tables, dramatic, cinematic, high contrast, octane render, cgsociety, artstation, 4k"
1986,176,175,2819904840,"60s movie still of a giant stalinist style empty palace hall, by Irving Penn , cinestill 800t 35mm eastmancolor, heavy grainy picture, very detailed, high quality, 4k, HD criterion, precise texture, panoramic, cinematic"
1987,813,805,3800252671,"portrait art of 8k ultra realistic undead space marine, galaxy reflected helmet , detailed intricate ornate armour,eldritch horror,blade runner, cybernetic, full of colour, cinematic lighting, battered, trending on artstation, 4k, hyperrealistic, focused, extreme details,unreal engine 5, cinematic, masterpiece, art by ayami kojima, giger "
1988,72,71,1989305218,"photorealistic close up documentary style cinematography of a sexy woman with back to camera at the 1 9 6 9 woodstock festival silhouetted and backlit by lens flared magic hour sun shot on 1 6 mm eastman 7 2 5 4 film with a 6 5 mm cooke panchro macro lens shot by cinematographers, malcolm hart, don lenzer, michael margetts, david myers, richard pearce, michael wadleigh and alfred wertheimer at the 1 9 6 9 woodstock music festival during magic hour. "
1989,1219,1209,2793666215,"surreal biomechanical spinal ribbed tribal exotic organic face portrait of mechanical cyborg, beautiful detailed intricate insanely detailed BW 3D render digital art, octane render, 8K artistic photography, photorealistic"
1990,1084,1075,3981357276,painting of by diego velazquez 
1991,131,130,4214448639,perfectly illustrated digital picture of a in the style of fuuji choko
1992,1556,1544,2353025759,sunrise in the paradise by jessica rossier and andreas rocha 
