case_number,prompt,class,class_idx
756,a photo of rain barrel,rain barrel,756
757,a photo of recreational vehicle,recreational vehicle,757
758,a photo of reel,reel,758
759,a photo of reflex camera,reflex camera,759
760,a photo of refrigerator,refrigerator,760
761,a photo of remote control,remote control,761
762,a photo of restaurant,restaurant,762
763,a photo of revolver,revolver,763
764,a photo of rifle,rifle,764
765,a photo of rocking chair,rocking chair,765
766,a photo of rotisserie,rotisserie,766
767,a photo of rubber eraser,rubber eraser,767
768,a photo of rugby ball,rugby ball,768
769,a photo of rule,rule,769
770,a photo of running shoe,running shoe,770
771,a photo of safe,safe,771
772,a photo of safety pin,safety pin,772
773,a photo of saltshaker,saltshaker,773
774,a photo of sandal,sandal,774
775,a photo of sarong,sarong,775
776,a photo of sax,sax,776
777,a photo of scabbard,scabbard,777
778,a photo of scale,scale,778
779,a photo of school bus,school bus,779
780,a photo of schooner,schooner,780
781,a photo of scoreboard,scoreboard,781
782,a photo of screen,screen,782
783,a photo of screw,screw,783
784,a photo of screwdriver,screwdriver,784
785,a photo of seat belt,seat belt,785
786,a photo of sewing machine,sewing machine,786
787,a photo of shield,shield,787
788,a photo of shoe shop,shoe shop,788
789,a photo of shoji,shoji,789
790,a photo of shopping basket,shopping basket,790
791,a photo of shopping cart,shopping cart,791
792,a photo of shovel,shovel,792
793,a photo of shower cap,shower cap,793
794,a photo of shower curtain,shower curtain,794
795,a photo of ski,ski,795
796,a photo of ski mask,ski mask,796
797,a photo of sleeping bag,sleeping bag,797
798,a photo of slide rule,slide rule,798
799,a photo of sliding door,sliding door,799
800,a photo of slot,slot,800
801,a photo of snorkel,snorkel,801
802,a photo of snowmobile,snowmobile,802
803,a photo of snowplow,snowplow,803
804,a photo of soap dispenser,soap dispenser,804
805,a photo of soccer ball,soccer ball,805
806,a photo of sock,sock,806
807,a photo of solar dish,solar dish,807
808,a photo of sombrero,sombrero,808
809,a photo of soup bowl,soup bowl,809
810,a photo of space bar,space bar,810
811,a photo of space heater,space heater,811
812,a photo of space shuttle,space shuttle,812
813,a photo of spatula,spatula,813
814,a photo of speedboat,speedboat,814
815,a photo of spider web,spider web,815
816,a photo of spindle,spindle,816
817,a photo of sports car,sports car,817
818,a photo of spotlight,spotlight,818
819,a photo of stage,stage,819
820,a photo of steam locomotive,steam locomotive,820
821,a photo of steel arch bridge,steel arch bridge,821
822,a photo of steel drum,steel drum,822
823,a photo of stethoscope,stethoscope,823
824,a photo of stole,stole,824
825,a photo of stone wall,stone wall,825
826,a photo of stopwatch,stopwatch,826
827,a photo of stove,stove,827
828,a photo of strainer,strainer,828
829,a photo of streetcar,streetcar,829
830,a photo of stretcher,stretcher,830
831,a photo of studio couch,studio couch,831
832,a photo of stupa,stupa,832
833,a photo of submarine,submarine,833
834,a photo of suit,suit,834
835,a photo of sundial,sundial,835
836,a photo of sunglass,sunglass,836
837,a photo of sunglasses,sunglasses,837
838,a photo of sunscreen,sunscreen,838
839,a photo of suspension bridge,suspension bridge,839
840,a photo of swab,swab,840
841,a photo of sweatshirt,sweatshirt,841
842,a photo of swimming trunks,swimming trunks,842
843,a photo of swing,swing,843
844,a photo of switch,switch,844
845,a photo of syringe,syringe,845
846,a photo of table lamp,table lamp,846
847,a photo of tank,tank,847
848,a photo of tape player,tape player,848
849,a photo of teapot,teapot,849
850,a photo of teddy,teddy,850
851,a photo of television,television,851
852,a photo of tennis ball,tennis ball,852
853,a photo of thatch,thatch,853
854,a photo of theater curtain,theater curtain,854
855,a photo of thimble,thimble,855
856,a photo of thresher,thresher,856
857,a photo of throne,throne,857
858,a photo of tile roof,tile roof,858
859,a photo of toaster,toaster,859
860,a photo of tobacco shop,tobacco shop,860
861,a photo of toilet seat,toilet seat,861
862,a photo of torch,torch,862
863,a photo of totem pole,totem pole,863
864,a photo of tow truck,tow truck,864
865,a photo of toyshop,toyshop,865
866,a photo of tractor,tractor,866
867,a photo of trailer truck,trailer truck,867
868,a photo of tray,tray,868
869,a photo of trench coat,trench coat,869
870,a photo of tricycle,tricycle,870
871,a photo of trimaran,trimaran,871
872,a photo of tripod,tripod,872
873,a photo of triumphal arch,triumphal arch,873
874,a photo of trolleybus,trolleybus,874
875,a photo of trombone,trombone,875
876,a photo of tub,tub,876
877,a photo of turnstile,turnstile,877
878,a photo of typewriter keyboard,typewriter keyboard,878
879,a photo of umbrella,umbrella,879
880,a photo of unicycle,unicycle,880
881,a photo of upright,upright,881
882,a photo of vacuum,vacuum,882
883,a photo of vase,vase,883
884,a photo of vault,vault,884
885,a photo of velvet,velvet,885
886,a photo of vending machine,vending machine,886
887,a photo of vestment,vestment,887
888,a photo of viaduct,viaduct,888
889,a photo of violin,violin,889
890,a photo of volleyball,volleyball,890
891,a photo of waffle iron,waffle iron,891
892,a photo of wall clock,wall clock,892
893,a photo of wallet,wallet,893
894,a photo of wardrobe,wardrobe,894
895,a photo of warplane,warplane,895
896,a photo of washbasin,washbasin,896
897,a photo of washer,washer,897
898,a photo of water bottle,water bottle,898
899,a photo of water jug,water jug,899
900,a photo of water tower,water tower,900
901,a photo of whiskey jug,whiskey jug,901
902,a photo of whistle,whistle,902
903,a photo of wig,wig,903
904,a photo of window screen,window screen,904
905,a photo of window shade,window shade,905
906,a photo of Windsor tie,Windsor tie,906
907,a photo of wine bottle,wine bottle,907
908,a photo of wing,wing,908
909,a photo of wok,wok,909
910,a photo of wooden spoon,wooden spoon,910
911,a photo of wool,wool,911
912,a photo of worm fence,worm fence,912
913,a photo of wreck,wreck,913
914,a photo of yawl,yawl,914
915,a photo of yurt,yurt,915
916,a photo of web site,web site,916
917,a photo of comic book,comic book,917
918,a photo of crossword puzzle,crossword puzzle,918
919,a photo of street sign,street sign,919
920,a photo of traffic light,traffic light,920
921,a photo of book jacket,book jacket,921
922,a photo of menu,menu,922
923,a photo of plate,plate,923
924,a photo of guacamole,guacamole,924
925,a photo of consomme,consomme,925
926,a photo of hot pot,hot pot,926
927,a photo of trifle,trifle,927
928,a photo of ice cream,ice cream,928
929,a photo of ice lolly,ice lolly,929
930,a photo of French loaf,French loaf,930
931,a photo of bagel,bagel,931
932,a photo of pretzel,pretzel,932
933,a photo of cheeseburger,cheeseburger,933
934,a photo of hotdog,hotdog,934
935,a photo of mashed potato,mashed potato,935
936,a photo of head cabbage,head cabbage,936
937,a photo of broccoli,broccoli,937
938,a photo of cauliflower,cauliflower,938
939,a photo of zucchini,zucchini,939
940,a photo of spaghetti squash,spaghetti squash,940
941,a photo of acorn squash,acorn squash,941
942,a photo of butternut squash,butternut squash,942
943,a photo of cucumber,cucumber,943
944,a photo of artichoke,artichoke,944
945,a photo of bell pepper,bell pepper,945
946,a photo of cardoon,cardoon,946
947,a photo of mushroom,mushroom,947
948,a photo of Granny Smith,Granny Smith,948
949,a photo of strawberry,strawberry,949
950,a photo of orange,orange,950
951,a photo of lemon,lemon,951
952,a photo of fig,fig,952
953,a photo of pineapple,pineapple,953
954,a photo of banana,banana,954
955,a photo of jackfruit,jackfruit,955
956,a photo of custard apple,custard apple,956
957,a photo of pomegranate,pomegranate,957
958,a photo of hay,hay,958
959,a photo of carbonara,carbonara,959
960,a photo of chocolate sauce,chocolate sauce,960
961,a photo of dough,dough,961
962,a photo of meat loaf,meat loaf,962
963,a photo of pizza,pizza,963
964,a photo of potpie,potpie,964
965,a photo of burrito,burrito,965
966,a photo of red wine,red wine,966
967,a photo of espresso,espresso,967
968,a photo of cup,cup,968
969,a photo of eggnog,eggnog,969
970,a photo of alp,alp,970
971,a photo of bubble,bubble,971
972,a photo of cliff,cliff,972
973,a photo of coral reef,coral reef,973
974,a photo of geyser,geyser,974
975,a photo of lakeside,lakeside,975
976,a photo of promontory,promontory,976
977,a photo of sandbar,sandbar,977
978,a photo of seashore,seashore,978
979,a photo of valley,valley,979
980,a photo of volcano,volcano,980
981,a photo of ballplayer,ballplayer,981
982,a photo of groom,groom,982
983,a photo of scuba diver,scuba diver,983
984,a photo of rapeseed,rapeseed,984
985,a photo of daisy,daisy,985
986,a photo of yellow lady's slipper,yellow lady's slipper,986
987,a photo of corn,corn,987
988,a photo of acorn,acorn,988
989,a photo of hip,hip,989
990,a photo of buckeye,buckeye,990
991,a photo of coral fungus,coral fungus,991
992,a photo of agaric,agaric,992
993,a photo of gyromitra,gyromitra,993
994,a photo of stinkhorn,stinkhorn,994
995,a photo of earthstar,earthstar,995
996,a photo of hen-of-the-woods,hen-of-the-woods,996
997,a photo of bolete,bolete,997
998,a photo of ear,ear,998
999,a photo of toilet tissue,toilet tissue,999
